Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL370236,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C/Cl)C1CC[C@@H]2O,IC50,'=',1436,nM,5.84,,,UO_0000065,17.34,0.35,1.44,14.44,0,CHEMBL859226,Inhibitory activity against AR,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149417,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,
CHEMBL562471,CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)/C(=C/c5cccc(F)c5)C[C@H]4[C@@H]3CC[C@@H]12,EC50,'=',12,nM,7.92,,,UO_0000065,,,,,0,CHEMBL1064180,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MDA-MB-453,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1153470,1,Scientific Literature,J Med Chem,2009,CHEMBL3307596,,,
CHEMBL557116,C/C=C1\C[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1O,Activity,'=',1,%,,,,UO_0000187,,,,,0,CHEMBL1064181,Agonist activity at human recombinant androgen receptor expressed in monkey CV1 cells assessed as induction of between Gal4DBD-rHARCTD fusion protein and VP16-rhARNTD at 300 nM by virilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CV-1,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1153470,1,Scientific Literature,J Med Chem,2009,CHEMBL3308033,,,
CHEMBL399851,C=C=CC(O)(c1nc2cc(Cl)c(Cl)cc2[nH]1)C(F)(F)F,IC50,,,,,,Not Determined,,,,,,0,CHEMBL903191,Binding affinity at androgen receptor expressed in COS cells by whole cell binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,COS,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139090,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,
CHEMBL399643,C/C=C\C(O)(c1nc2cc(Cl)c(Cl)cc2[nH]1)C(F)(F)F,IC50,,,,,,Not Determined,,,,,,0,CHEMBL903191,Binding affinity at androgen receptor expressed in COS cells by whole cell binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,COS,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139090,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,
CHEMBL1099087,Cc1c(N2C(=O)C(C)(C)N(CCCS(N)(=O)=O)C2=S)ccc(C#N)c1C(F)(F)F,Activity,,,,,,Active,,,,,,0,CHEMBL1121346,Agonist activity at AR in human LNCAP cells assessed as effect on cell proliferation after 6 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,LNCaP,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1158555,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3307965,,,
CHEMBL1099140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1210840,CN1C(=O)[C@]2(C)O[C@](C)(C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12,IC50,'=',2144,nM,5.67,,,UO_0000065,,,,,0,CHEMBL1212405,Antagonist activity at human wild type AR expressed in human MDA-MB-435 cells by transactivation assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MDA-MB-435,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1208719,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3307686,,,
CHEMBL1210842,CC(C)OC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,IC50,'=',12,nM,7.92,,,UO_0000065,,,,,0,CHEMBL1212405,Antagonist activity at human wild type AR expressed in human MDA-MB-435 cells by transactivation assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MDA-MB-435,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1208719,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3307686,,,
CHEMBL1209905,CC(C)C(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,IC50,'=',1610,nM,5.79,,,UO_0000065,,,,,0,CHEMBL1212407,Antagonist activity at wild type human AR expressed in human LNCAP cells by transactivation assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,LNCaP,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1208719,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3307965,,,
CHEMBL1210033,CCCOC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,IC50,'=',54,nM,7.27,,,UO_0000065,,,,,0,CHEMBL1212407,Antagonist activity at wild type human AR expressed in human LNCAP cells by transactivation assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,LNCaP,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1208719,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3307965,,,
CHEMBL1210152,C[C@]12CN(c3cc(Cl)ncn3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,IC50,'=',104,nM,6.98,,,UO_0000065,,,,,0,CHEMBL1212407,Antagonist activity at wild type human AR expressed in human LNCAP cells by transactivation assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,LNCaP,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1208719,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3307965,,,
CHEMBL1098173,Cc1cc(N2C(=O)C(C)(C)N(CCCS(N)(=O)=O)C2=S)ccc1C#N,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL1121343,Displacement of [3H]mibolerone from human AR expressed in CHO-K1 cells after 2 hrs by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1158555,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3307512,,,
CHEMBL1098174,COc1cc(N2C(=O)C(C)(C)N(CCCS(N)(=O)=O)C2=S)ccc1C#N,IC50,'=',1900,nM,5.72,,,UO_0000065,14.43,0.3,4.76,4.9,0,CHEMBL1121343,Displacement of [3H]mibolerone from human AR expressed in CHO-K1 cells after 2 hrs by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL1871,Androgen Receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1158555,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3307512,,,
