Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL3623751,CCOC(=O)c1c(N)sc(C(=O)Nc2cccc([N+](=O)[O-])c2)c1C,Inhibition,'=',16.07,%,,,,UO_0000187,,,,,0,CHEMBL3626817,Inhibition of DNMT1 (unknown origin) using poly(dI-DC) as substrate at 100 uM preincubated for 15 mins followed by substrate and [3H]SAM addition measured after 120 mins by microbeta counting analysis relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621043,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL3623770,COC(=O)c1c(N)sc(C(=O)Nc2cccc([N+](=O)[O-])c2)c1C,Inhibition,'=',9.82,%,,,,UO_0000187,,,,,0,CHEMBL3626817,Inhibition of DNMT1 (unknown origin) using poly(dI-DC) as substrate at 100 uM preincubated for 15 mins followed by substrate and [3H]SAM addition measured after 120 mins by microbeta counting analysis relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621043,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL2336409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1523953,Cc1ccc(S(=O)(=O)N2[C@@H](c3ccc(C(C)(C)C)cc3)C(C(=O)O)=CC[C@H]2c2ccc(C(C)C)cc2)cc1,IC50,'=',5040,nM,5.3,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1571625,CC1=NN(c2ccccc2)C(=O)C1/C=C1\NC(=S)NC1=O,IC50,'=',8390,nM,5.08,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1446088,CCN(CC(=O)Nc1c(F)cccc1F)C(=O)c1cccc(-n2cccc2)c1,IC50,'=',27400,nM,4.56,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1568915,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,IC50,'=',5930,nM,5.23,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1780246,O=C(O)[C@H](c1c[nH]c2ccccc12)N1C(=O)C=C(c2ccccc2)C1=O,Inhibition,,,%,,,Active,UO_0000187,,,,,0,CHEMBL1781275,Inhibition of human DNA methyltransferase using S-adenosyl-L-methionine substrate at 10 to 1000 uM measured after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777770,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,
CHEMBL1780245,CC1=CC(=O)N([C@H](C(=O)O)c2c[nH]c3ccccc23)C1=O,Inhibition,,,%,,,Active,UO_0000187,,,,,0,CHEMBL1781275,Inhibition of human DNA methyltransferase using S-adenosyl-L-methionine substrate at 10 to 1000 uM measured after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777770,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,
CHEMBL3961701,CNCCN1CCC(OCc2ccccc2)CC1,Inhibition,,,%,,,,UO_0000187,,,,,0,CHEMBL3859054,Inhibition of DNMT1 (unknown origin) at 50 uM using biotin-labeled peptide as substrate and [3H]-SAM measured after 1 hr by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3856251,1,Scientific Literature,J Med Chem,2016,None,,,
