Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL47009,O=C(O)CCC(CP(=O)(O)O)C(=O)O,IC50,'=',52,nM,7.28,,,UO_0000065,32.21,0.71,7.55,5.51,0,CHEMBL3791236,Displacement of [125I]23 from PSMA in human LNCAP cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,LNCaP,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL3785062,1,Scientific Literature,J Med Chem,2016,CHEMBL3307965,,,
CHEMBL284762,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccc(O)cc3)C(=O)N2C(=O)Cc2cccc(C(=O)OCc3ccccc3)c2)cc1,IC50,'=',3500,nM,5.46,,,UO_0000065,,,,,1,CHEMBL765765,Concentration required for inhibition of 50% of the cleavage of para-nitroanilide from MeO-Suc-Arg-Pro-Tyr-pNA.HCl by Prostate specific antigen PSA,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL1130468,1,Scientific Literature,Bioorg Med Chem Lett,1997,None,,,
CHEMBL294565,O=C(O)CCCCS,IC50,'=',1400,nM,5.85,,,UO_0000065,43.62,1,4.68,15.69,1,CHEMBL680917,Inhibition of N-acetyl-L-aspartyl-[3H]L-glutamate binding to glutamate carboxypeptidase II (GCP II),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL1145039,1,Scientific Literature,J Med Chem,2003,None,,,
CHEMBL292562,O=C(O)CCC(CCS)C(=O)O,IC50,'=',580,nM,6.24,,,UO_0000065,32.44,0.71,5.37,8.36,0,CHEMBL680917,Inhibition of N-acetyl-L-aspartyl-[3H]L-glutamate binding to glutamate carboxypeptidase II (GCP II),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL1145039,1,Scientific Literature,J Med Chem,2003,None,,,
CHEMBL286935,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(C(=O)OCc3ccccc3)c2)cc1,IC50,'=',8980,nM,5.05,,,UO_0000065,,,,,1,CHEMBL765765,Concentration required for inhibition of 50% of the cleavage of para-nitroanilide from MeO-Suc-Arg-Pro-Tyr-pNA.HCl by Prostate specific antigen PSA,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL1130468,1,Scientific Literature,Bioorg Med Chem Lett,1997,None,,,
CHEMBL303352,O=C(O)CCC(CCCS)C(=O)O,IC50,'=',90,nM,7.05,,,UO_0000065,34.16,0.74,5.79,9.44,1,CHEMBL680918,Inhibition of Glutamate carboxypeptidase II,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL1136071,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,
CHEMBL270824,C[C@]12CC[C@H](OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.[K+].[K+].[K+],IC50,'=',438,nM,6.36,,,UO_0000065,11.4,0.23,1.96,3.99,0,CHEMBL946844,Inhibition of human PSMA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL1142256,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,
CHEMBL437209,C[C@]12CC[C@H](OP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.[K+].[K+].[K+],IC50,'=',569,nM,6.25,,,UO_0000065,12.5,0.25,2.25,4.16,0,CHEMBL946844,Inhibition of human PSMA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL1142256,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,
CHEMBL334737,O=C(O)CCCC(CP(=O)(O)O)C(=O)O,IC50,'=',185,nM,6.73,,,UO_0000065,28.04,0.61,6.61,5.1,0,CHEMBL2185174,Binding affinity to NAALADase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL2176967,1,Scientific Literature,J Med Chem,2012,None,,,
CHEMBL63454,O=C(O)CCC(CCC(=O)NO)C(=O)O,IC50,'=',1200,nM,5.92,,,UO_0000065,27.01,0.54,6.08,4.78,0,CHEMBL3821388,Inhibition of recombinant human GCP2 using [3H]-NAAG as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1892,Glutamate carboxypeptidase II,Homo sapiens,SINGLE PROTEIN,CHEMBL3817757,1,Scientific Literature,J Med Chem,2016,None,,,
