Molecule ChEMBL ID,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL487498,9,O=c1ccsn1-c1cccnc1,IC50,'=',14400,nM,4.84,,,UO_0000065,27.17,0.55,3.55,13.88,0,CHEMBL1006964,Inhibition of GST-fused recombinant HAT p300 expressed in Escherichia coli by filter assay,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL1140879,1,Scientific Literature,Bioorg Med Chem,2009,None,,,
CHEMBL443951,13,CN(C)c1ccc(-n2sccc2=O)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL1006964,Inhibition of GST-fused recombinant HAT p300 expressed in Escherichia coli by filter assay,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL1140879,1,Scientific Literature,Bioorg Med Chem,2009,None,,,
CHEMBL3736128,11c,CCCCCc1ccc(O)c(C(=O)O)c1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL3738206,Inhibition of human recombinant Histone acetyltransferase p300 catalytic domain (1284-1672 residues) using [3H]Acetyl-CoA and histone H3 substrate at 50 uM after 1 hr by liquid scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3734689,1,Scientific Literature,Eur J Med Chem,2015,None,,,
CHEMBL3735131,13,CCCCCCCSCC(=O)c1ccccc1O,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL3738206,Inhibition of human recombinant Histone acetyltransferase p300 catalytic domain (1284-1672 residues) using [3H]Acetyl-CoA and histone H3 substrate at 50 uM after 1 hr by liquid scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3734689,1,Scientific Literature,Eur J Med Chem,2015,None,,,
CHEMBL3736128,11c,CCCCCc1ccc(O)c(C(=O)O)c1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL3738207,Inhibition of human recombinant Histone acetyltransferase p300 catalytic domain (1284-1672 residues) using [3H]Acetyl-CoA and histone H3 substrate at 200 uM after 1 hr by liquid scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3734689,1,Scientific Literature,Eur J Med Chem,2015,None,,,
CHEMBL1392315,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3126485,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3421961,7h,Cc1cc(O)cc(C)c1C=C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O,IC50,'=',2900,nM,5.54,,,UO_0000065,12.57,0.23,0.96,7.11,0,CHEMBL3424829,Inhibition of recombinant P300 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3421539,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL3421961,7h,Cc1cc(O)cc(C)c1C=C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O,Inhibition,,,%,,,tde,UO_0000187,,,,,0,CHEMBL3424839,Inhibition of P300 in human U937 cells assessed as reduction in H4K5 histone acetylation at 100 uM by immunoblotting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3421539,1,Scientific Literature,J Med Chem,2015,CHEMBL3308006,,,
CHEMBL3421959,9g,C=CCN1C(=O)C(=Cc2ccc(OC)cc2)C(=O)N(CC=C)C1=O,Inhibition,'=',59.85,%,,,,UO_0000187,,,,,0,CHEMBL3424787,Inhibition of P300 (unknown origin) using histone H3/[acetyl-3H]-acetyl coenzyme A as substrate at 100 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3421539,1,Scientific Literature,J Med Chem,2015,None,,,
