Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL3216048,CCCNC(=S)NCCCNCCCCNCCCNC(=S)NCCC.Cl.Cl,Activity,'=',89.6,%,,,,UO_0000187,,,,,0,CHEMBL1119016,Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) assessed as residual activity at 10 uM by chemiluminescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155444,1,Scientific Literature,J Med Chem,2010,None,,,
CHEMBL3144165,Cl.Cl.S=C(NCCCNCCCNCCCNC(=S)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1,Activity,'=',24.8,%,,,,UO_0000187,,,,,0,CHEMBL1119016,Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) assessed as residual activity at 10 uM by chemiluminescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155444,1,Scientific Literature,J Med Chem,2010,None,,,
CHEMBL1085097,C/N=C(\NC)NCCCNCCCNCCCN/C(=N/C)NC.Cl,Inhibition,,,%,,,Active,UO_0000187,,,,,0,CHEMBL1119014,Inhibition of LSD1 in human HCT116 cells assessed as increase in cellular histone 3 methyllysine 4 level treated at increasing concentration after 48 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HCT-116,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155444,1,Scientific Literature,J Med Chem,2010,CHEMBL3308372,,,
CHEMBL3216467,CCCNC(=S)NCCCNCCCNCCCNC(=S)NCCC.Cl.Cl,Inhibition,'<',20,%,,,,UO_0000187,,,,,0,CHEMBL1119017,Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) at 10 uM by chemiluminescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155444,1,Scientific Literature,J Med Chem,2010,None,,,
CHEMBL3144158,Cl.Cl.O=C(NCCCNCCCNCCCNC(=O)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1,Inhibition,'<',20,%,,,,UO_0000187,,,,,0,CHEMBL1119017,Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) at 10 uM by chemiluminescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155444,1,Scientific Literature,J Med Chem,2010,None,,,
CHEMBL3183851,O=C(O)c1ccc(O)c2ncc(N3CCCN(C4CCCC4)CC3)cc12,Potency,,13579.9,nM,,,inconclusive,UO_0000065,,,,,0,CHEMBL3215162,PubChem BioAssay. qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E): Counterscreen with LSD1.   (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1413807,CN1CCN(C(=O)c2cccc(-c3cc(O)c4ncccc4c3)c2)CC1,Potency,,27095.5,nM,,,inconclusive,UO_0000065,,,,,0,CHEMBL3215162,PubChem BioAssay. qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E): Counterscreen with LSD1.   (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL3185778,O=C(O)c1ccc(O)c2ncc(NCC3CCCN(CCc4ccccc4)C3)cc12,Potency,,17096.1,nM,,,inconclusive,UO_0000065,,,,,0,CHEMBL3215162,PubChem BioAssay. qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E): Counterscreen with LSD1.   (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL3217137,Cl.Cl.O=C(NCCCNCCCCNCCCNC(=O)NC(=O)N(c1ccccc1)c1ccccc1)NC(=O)C(c1ccccc1)c1ccccc1,Activity,'=',26.1,%,,,,UO_0000187,,,,,0,CHEMBL1119016,Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) assessed as residual activity at 10 uM by chemiluminescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155444,1,Scientific Literature,J Med Chem,2010,None,,,
CHEMBL1085949,Cl.N=C(NCCCNCCCCCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1,Inhibition,,,%,,,Active,UO_0000187,,,,,0,CHEMBL1119014,Inhibition of LSD1 in human HCT116 cells assessed as increase in cellular histone 3 methyllysine 4 level treated at increasing concentration after 48 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HCT-116,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155444,1,Scientific Literature,J Med Chem,2010,CHEMBL3308372,,,
