Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL2431867,CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL2433129,Inhibition of human full length ARTD2 using NAD+ as substrate at 1 uM by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2429767,1,Scientific Literature,J Med Chem,2013,None,,,
CHEMBL1163173,O=c1[nH]c(-c2ccc(Cl)cc2)nc2ccccc12,IC50,'=',2600,nM,5.58,,,UO_0000065,21.76,0.42,2.35,12.21,0,CHEMBL3829027,Inhibition of human PARP-2 (unknown origin) using histone as substrate incubated for 1 hr by chemiluminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3826913,1,Scientific Literature,Eur J Med Chem,2016,None,,,
CHEMBL123798,COc1cccc2c(O)nc(-c3ccc(C(F)(F)F)cc3)nc12,IC50,'=',570,nM,6.24,,,UO_0000065,19.5,0.37,2.21,11.3,0,CHEMBL3829027,Inhibition of human PARP-2 (unknown origin) using histone as substrate incubated for 1 hr by chemiluminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3826913,1,Scientific Literature,Eur J Med Chem,2016,None,,,
CHEMBL1086580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4454483,COc1ccccc1N1CCN(c2nc3c(c(=O)[nH]2)CCCC3)CC1,IC50,'=',2230,nM,5.65,,,UO_0000065,16.6,0.31,3.67,9.2,1,CHEMBL4388151,Inhibition of human recombinant N-terminal GST-tagged PARP2 (2 to 583 residues) expressed in baculovirus infected Sf9 cells assessed as reduction in auto-PARylation using histone as substrate measured after 45 mins in presence of biotinylated-NAD+ by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4387706,1,Scientific Literature,J Med Chem,2019,CHEMBL3308860,,,
CHEMBL506871,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,IC50,'=',70,nM,7.16,,,UO_0000065,29.29,0.54,5.89,8.54,0,CHEMBL4254941,Inhibition of recombinant human PARP2 using histone as substrate after 1.5 hr in presence of NAD+ by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4251650,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4279230,CN1CCc2sc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2C1,IC50,'=',131,nM,6.88,,,UO_0000065,22.03,0.43,4.5,9.18,0,CHEMBL4254941,Inhibition of recombinant human PARP2 using histone as substrate after 1.5 hr in presence of NAD+ by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4251650,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL2419716,O=C(CCc1ccccc1)N(Cc1ccsc1)Cc1nc2c(c(=O)[nH]1)COCC2,IC50,'=',10400,nM,4.98,,,UO_0000065,12.17,0.23,1.91,6.62,1,CHEMBL2422477,Inhibition of PARP2 (unknown origin) assessed as nicotinamide concentration by LC-MS analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2417384,1,Scientific Literature,J Med Chem,2013,None,,,
CHEMBL2431805,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CCSC2,IC50,'=',478.63,nM,6.32,,,UO_0000065,20.24,0.41,3.07,13.81,0,CHEMBL2433123,Inhibition of human full length ARTD2 using NAD+ as substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2429767,1,Scientific Literature,J Med Chem,2013,None,,,
CHEMBL4078014,O=C(/C=C/c1ccc(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1)NO,IC50,'=',2.53,nM,8.6,,,UO_0000065,15.87,0.29,5.47,7.25,1,CHEMBL4055670,Inhibition of recombinant human N-terminal GST-tagged PARP2 (2 to 583 residues) expressed in baculovirus infected Sf9 cells using biotinylated substrate after 1 hr by UV/Vis spectrophotometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4052667,1,Scientific Literature,Bioorg Med Chem,2017,None,,,
