Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL338790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL379251,CCCN1CCCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,IC50,'=',10,nM,8,,,UO_0000065,19.78,0.36,4.52,11.5,0,CHEMBL862536,Inhibitory activity against PARP1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138134,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,
CHEMBL202313,CCOC(=O)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,IC50,'=',15,nM,7.82,,,UO_0000065,18.65,0.34,4.48,8.45,0,CHEMBL862536,Inhibitory activity against PARP1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138134,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,
CHEMBL560528,O=C1NCCc2c1ccc1[nH]cc(CCNC(=O)N3CCCNC(F)(F)C3)c21,IC50,'=',390,nM,6.41,,,UO_0000065,16.37,0.31,4.82,7.18,0,CHEMBL1060805,Inhibition of PARP1 in human HeLa cells by microplate scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153049,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308376,,,
CHEMBL123205,CN(C)c1cccc(C(N)=O)c1,IC50,'=',120000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134673,1,Scientific Literature,J Med Chem,2001,None,,,
CHEMBL488052,NC(=O)c1cccc2[nH]c(C3CCNCC3)nc12,EC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL992766,Inhibition of PARP1 in human C41 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157504,1,Scientific Literature,Bioorg Med Chem,2008,None,,,
CHEMBL513621,CCCN1CCC(c2nc3c(C(N)=O)cccc3n2C)CC1,EC50,'=',21,nM,7.68,,,UO_0000065,25.56,0.48,5.42,11.97,0,CHEMBL992766,Inhibition of PARP1 in human C41 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157504,1,Scientific Literature,Bioorg Med Chem,2008,None,,,
CHEMBL129984,COC(=O)c1cccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc12,Inhibition,,,,,Potential missing data,No data,,,,,,0,CHEMBL763793,In vitro inhibition against human full length PARP protein; NT means not tested,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132951,1,Scientific Literature,J Med Chem,2000,None,,,
CHEMBL45245,O=c1[nH]c2ccccc2c2ccccc12,IC50,'=',300,nM,6.52,,,UO_0000065,33.41,0.59,3.84,19.85,0,CHEMBL1176193,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1177697,1,Scientific Literature,J Med Chem,2010,None,,,
CHEMBL1173054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
