Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL500661,O=C(NC[C@@H]1CCCO1)c1cccc(Nc2nccc(Nc3ccc4ncsc4c3)n2)c1,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL953394,Inhibition of AKT1/PKBalpha at 10 uM by HTRF assay relative to control,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1150387,1,Scientific Literature,J Med Chem,2008,None,,,
CHEMBL483507,CN(CCc1ccccn1)C(=O)c1cccc(Nc2nccc(Nc3ccc4ncsc4c3)n2)c1,Inhibition,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL953394,Inhibition of AKT1/PKBalpha at 10 uM by HTRF assay relative to control,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1150387,1,Scientific Literature,J Med Chem,2008,None,,,
CHEMBL1254114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1254114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1774973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL375428,CC(C)c1noc(-c2ccc(F)cc2)c1-c1ccncc1,Activity,'=',94,%,,,,UO_0000187,,,,,0,CHEMBL1041964,Inhibition of PKBalpha assessed as residual activity at 10 uM by Cherenkov counting relative to control in presence of 5 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1155278,1,Scientific Literature,J Med Chem,2009,None,,,
CHEMBL1096770,Nc1ccccc1Nc1ccc2c(c1)C(=O)Cc1ccccc1C2,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL1108232,Inhibition of AKT1 at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1157789,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,
CHEMBL258696,CCN(CC)CCNC(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)nc2c1,IC50,'=',253,nM,6.6,,,UO_0000065,10.09,0.18,0.08,6.65,0,CHEMBL948035,Inhibition of Akt1 by cell-based IPKA assay,B,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1143241,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Inhibition,'=',46,%,,,,UO_0000187,,,,,0,CHEMBL1249686,Inhibition of human PKBalpha activity at 10 uM by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1240306,1,Scientific Literature,Nat Chem Biol,2006,None,,,
CHEMBL230011,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,Activity,,,,,,Dose-dependent effect,,,,,,0,CHEMBL895766,Inhibition of FGF-induced AKT phosphorylation in HUVEC cells by Western blot at 10 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL4282,Serine/threonine-protein kinase AKT,Homo sapiens,SINGLE PROTEIN,CHEMBL1148756,1,Scientific Literature,J Med Chem,2007,CHEMBL3307501,,,
