Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Kd,'=',5200,nM,5.28,,,UO_0000065,11.33,0.21,0.93,7.61,1,CHEMBL1051312,Binding constant for RIPK2 kinase domain,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150977,1,Scientific Literature,Nat Biotechnol,2008,None,,,
CHEMBL195008,CN1C(=O)C(Cc2c[nH]c3ccccc23)NC1=S,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL1221006,Inhibition of human RIP2 autophosphorylation expressed in HEK293T cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK-293T,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1212703,1,Scientific Literature,Nat Chem Biol,2008,CHEMBL3706569,,,
CHEMBL384304,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,Kd,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1908622,Binding constant for RIPK2 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL379218,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,Kd,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1908622,Binding constant for RIPK2 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,Kd,'=',24,nM,7.62,,,UO_0000065,20.19,0.39,2.94,11.79,0,CHEMBL1908622,Binding constant for RIPK2 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,Kd,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1908622,Binding constant for RIPK2 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL1230020,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,Kd,'=',430,nM,6.37,,,UO_0000065,15.38,0.32,2.49,6.93,0,CHEMBL1908622,Binding constant for RIPK2 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL525191,OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,Kd,'=',2500,nM,5.6,,,UO_0000065,16.75,0.31,2.87,6.71,0,CHEMBL1908622,Binding constant for RIPK2 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL1163510,O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,Inhibition,'<',50,%,,,,UO_0000187,,,,,0,CHEMBL1166844,Inhibition of RIPK2 at 1 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1165965,1,Scientific Literature,Bioorg Med Chem,2010,None,,,
CHEMBL1817865,Nc1n[nH]c2ncccc12,Inhibition,'=',10,%,,,,UO_0000187,,,,,0,CHEMBL1820092,Inhibition of RIP2 expressed in Escherichia coli or baculovirus-infected insect cells at 400 uM by fluorescence polarization assay,B,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1817560,1,Scientific Literature,J Med Chem,2011,None,,,
CHEMBL1644619,O=c1[nH]nc(-c2ccnc(NC3CCCOC3)c2)n1-c1ccc2ccccc2c1,Inhibition,'=',1,%,,,,UO_0000187,,,,,0,CHEMBL1648820,Inhibition of RIPK2 at 10 uM after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1641539,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,
CHEMBL1644615,O=c1n(Cc2ccccn2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,Inhibition,'=',1,%,,,,UO_0000187,,,,,0,CHEMBL1648820,Inhibition of RIPK2 at 10 uM after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1641539,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,
CHEMBL3358999,COc1cc(-c2c[nH]c(=O)c(-c3cc(OC)c(OC)c(OC)c3)n2)ccc1O,Activity,'=',9,%,,,,UO_0000187,,,,,0,CHEMBL3380486,Inhibition of RIPK2 (unknown origin) assessed as residual activity at 1 uM by radiometric protein kinase assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL3351621,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL3822938,Cc1ccc(O)cc1Nc1ccnc2ccc(C(F)(F)F)cc12,IC50,'=',8,nM,8.1,,,UO_0000065,25.44,0.48,3.09,17.93,0,CHEMBL3825637,Competitive inhibition of full length FLAG-His-tagged RIP2K (unknown origin) expressed in baculovirus expression system preincubated for 10 mins followed by addition of fluorescent-labeled 2-Methyl-5-(2-propen-l-yloxy)aniline measured after 10 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL3822396,1,Scientific Literature,J Med Chem,2016,None,,,
CHEMBL3628627,CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1,K,'=',0.000147,/s,,,,,,,,,0,CHEMBL3631917,Inhibition of full-length FLAG-6His-TEV tagged human RIP2 expressed in Sf9 cells assessed as dissociation rate by fluorescent polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL3627608,1,Scientific Literature,Bioorg Med Chem,2015,CHEMBL3308860,,,
CHEMBL1088751,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,Kd,'>',30000,nM,,,Inactive,UO_0000065,,,,,0,CHEMBL3991868,Kinobeads (epsilon),,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL514201,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c1cc2c(C(=O)C(=O)N(C)C)cn(C)c2cc1Cl,Kd,'>',30000,nM,,,Inactive,UO_0000065,,,,,0,CHEMBL3991868,Kinobeads (epsilon),,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3109738,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,Kd,'=',390,nM,6.41,,Active,UO_0000065,14.01,0.3,1.27,10.77,0,CHEMBL3991868,Kinobeads (epsilon),,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,Kd,'=',1090,nM,5.96,,Active,UO_0000065,13.72,0.25,1.76,5.65,0,CHEMBL3991868,Kinobeads (epsilon),,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL257167,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,Activity,,,,,,Not Evaluated,,,,,,0,CHEMBL1025751,Binding affinity to human RIPK2 at 10 uM relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL1151712,1,Scientific Literature,J Med Chem,2008,None,,,
