Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL1241674,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,Inhibition,'=',38,%,,,,UO_0000187,,,,,0,CHEMBL1244292,Inhibition of SRC N1 domain at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,
CHEMBL483507,CN(CCc1ccccn1)C(=O)c1cccc(Nc2nccc(Nc3ccc4ncsc4c3)n2)c1,Inhibition,'=',69,%,,,,UO_0000187,,,,,0,CHEMBL953396,Inhibition of Src at 10 uM by HTRF assay relative to control,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1150387,1,Scientific Literature,J Med Chem,2008,None,,,
CHEMBL1230790,CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,Inhibition,'=',96,%,,,,UO_0000187,,,,,0,CHEMBL1244313,Inhibition of SRC N2 domain at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,
CHEMBL1790804,CC[C@@H](C)[C@H](NC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)O)C(=O)O,IC50,'=',80700,nM,4.09,,,UO_0000065,6.07,0.12,4.57,1.39,0,CHEMBL821541,Concentration of compound required for inhibiting the binding of the fluorescent probe to the c-Src tyrosine kinase SH2 domain by 50%,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1148323,1,Scientific Literature,J Med Chem,2004,None,,,
CHEMBL1240567,Nc1ncnc2[nH]nc(-c3ccc4c(c3)OCO4)c12,IC50,,,,,,Not Determined,,,,,,0,CHEMBL1243974,Inhibition of recombinant c-Src by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,
CHEMBL1242851,CCn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,IC50,,,,,,Not Determined,,,,,,0,CHEMBL1243974,Inhibition of recombinant c-Src by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,
CHEMBL398610,CCOc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C,IC50,'=',463,nM,6.33,,,UO_0000065,17.24,0.33,3.68,7.78,0,CHEMBL903333,Inhibition of SRC,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1139105,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,
CHEMBL1096442,O=C1Cc2ccccc2Cc2cc(-c3ccccc3)ccc21,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL1108245,Inhibition of SRC at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1157789,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,
CHEMBL1765557,CN(C)CCNc1cc(-c2ccccc2)c2c(N)c(C(=O)N/N=C/c3cccc4ccccc34)sc2n1,IC50,'=',107,nM,6.97,,,UO_0000065,13.7,0.26,1.53,7.29,0,CHEMBL1768532,Inhibition of c-SRC assessed as residual activity using KVEKIGEGYYGVVYK as peptide substrate after 20 mins by scintillation counting,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1765001,1,Scientific Literature,Bioorg Med Chem,2011,None,,,
CHEMBL1765548,Nc1c(C(=O)N/N=C/c2cccc3ccccc23)sc2ncccc12,Activity,,,,,,Not Determined,,,,,,0,CHEMBL1768533,Inhibition of c-SRC in EGF-stimulated human A431 cells assessed as phosphorylated STAT3 level by Western blot assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,A-431,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1765001,1,Scientific Literature,Bioorg Med Chem,2011,CHEMBL3307523,,,
CHEMBL1765550,Cn1cncc1/C=N/NC(=O)c1sc2ncccc2c1N,Activity,,,,,,Not Determined,,,,,,0,CHEMBL1768533,Inhibition of c-SRC in EGF-stimulated human A431 cells assessed as phosphorylated STAT3 level by Western blot assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,A-431,None,,,,CHEMBL267,Tyrosine-protein kinase SRC,Homo sapiens,SINGLE PROTEIN,CHEMBL1765001,1,Scientific Literature,Bioorg Med Chem,2011,CHEMBL3307523,,,
